order_id,customer_id,order_date,product_id,quantity,order_status,discount,return_id,return_reason,feedback
111,774,2022-06-21,393,1,Returned,0.02,43,Incorrect item,Delayed refund
112,701,2022-01-18,413,3,Returned,0.19,44,Not satisfied,Delayed refund
114,45,2020-05-06,131,3,Returned,0.14,45,Not satisfied,Delayed refund
117,898,2022-12-25,120,4,Returned,0.17,46,Incorrect item,Happy with return
118,624,2019-01-10,439,4,Returned,0.03,47,Damaged,Happy with return
123,20,2020-05-20,263,3,Returned,0,48,Incorrect item,Happy with return
125,490,2020-06-02,260,1,Returned,0.07,49,Not satisfied,Delayed refund
128,962,2020-02-17,30,4,Returned,0.24,50,Damaged,Happy with return
130,298,2020-01-29,43,1,Returned,0.15,51,Damaged,Quick process
134,991,2020-08-26,3,2,Returned,0.28,52,Not satisfied,Happy with return
136,183,2022-09-19,394,4,Returned,0.16,53,Incorrect item,Happy with return
140,629,2022-08-11,128,1,Returned,0.12,54,Damaged,Delayed refund
141,125,2021-07-08,320,4,Returned,0,55,Damaged,Happy with return
143,761,2020-02-10,63,2,Returned,0.13,56,Damaged,Delayed refund
151,253,2022-07-23,64,1,Returned,0.29,57,Incorrect item,Happy with return
152,920,2022-10-22,238,2,Returned,0.15,58,Not satisfied,Happy with return
153,867,2022-01-29,277,2,Returned,0.23,59,Damaged,Happy with return
155,174,2022-02-01,405,1,Returned,0.23,60,Damaged,Happy with return
156,841,2019-04-11,14,1,Returned,0.19,61,Incorrect item,Quick process
158,15,2019-06-14,204,1,Returned,0.16,62,Not satisfied,Quick process
160,603,2020-10-09,426,4,Returned,0.3,63,Damaged,Delayed refund
164,828,2018-03-22,270,4,Returned,0.13,64,Damaged,Delayed refund
165,336,2019-02-13,224,2,Returned,0.07,65,Incorrect item,Happy with return
166,193,2021-06-19,255,3,Returned,0.05,66,Damaged,Quick process
167,133,2019-02-24,484,3,Returned,0.03,67,Not satisfied,Quick process
168,945,2022-10-27,479,2,Returned,0.26,68,Incorrect item,Delayed refund
169,990,2020-11-11,351,1,Returned,0.07,69,Damaged,Quick process
170,185,2021-11-25,319,2,Returned,0.16,70,Not satisfied,Happy with return
172,780,2020-05-05,220,3,Returned,0.11,71,Incorrect item,Delayed refund
173,507,2019-09-11,276,2,Returned,0.18,72,Incorrect item,Quick process
174,661,2021-03-02,131,2,Returned,0.07,73,Incorrect item,Quick process
176,916,2021-03-06,360,3,Returned,0.07,74,Damaged,Delayed refund
177,186,2019-11-16,474,4,Returned,0.18,75,Damaged,Quick process
178,161,2018-02-04,170,2,Returned,0.05,76,Incorrect item,Delayed refund
184,739,2021-11-16,252,3,Returned,0.29,77,Not satisfied,Quick process
185,887,2021-04-08,119,4,Returned,0.02,78,Incorrect item,Quick process
188,430,2022-05-16,177,2,Returned,0.01,79,Incorrect item,Happy with return
192,565,2021-03-02,155,4,Returned,0.06,80,Damaged,Quick process
195,684,2018-10-25,385,1,Returned,0.12,81,Damaged,Quick process
198,653,2018-05-24,278,2,Returned,0.18,82,Incorrect item,Quick process
202,214,2018-09-03,345,1,Returned,0.16,83,Incorrect item,Happy with return
205,392,2018-07-27,216,4,Returned,0.27,84,Incorrect item,Happy with return
211,170,2018-06-03,284,3,Returned,0.17,85,Incorrect item,Quick process
212,41,2018-11-25,382,3,Returned,0.04,86,Not satisfied,Quick process
213,567,2021-10-20,198,2,Returned,0.1,87,Damaged,Happy with return
215,386,2021-03-10,468,3,Returned,0.19,88,Damaged,Quick process
217,947,2021-05-29,16,3,Returned,0.18,89,Not satisfied,Quick process
219,911,2022-09-12,459,1,Returned,0.17,90,Not satisfied,Happy with return
224,348,2019-10-13,178,2,Returned,0.12,91,Damaged,Happy with return
233,258,2021-03-29,335,1,Returned,0.16,92,Not satisfied,Quick process
237,370,2020-07-09,307,1,Returned,0.27,93,Incorrect item,Happy with return
238,617,2019-09-03,103,4,Returned,0.16,94,Damaged,Happy with return
240,993,2019-10-18,313,4,Returned,0,95,Incorrect item,Delayed refund
241,522,2020-12-15,173,4,Returned,0,96,Not satisfied,Quick process
242,886,2021-01-07,474,3,Returned,0.2,97,Not satisfied,Quick process
243,827,2021-04-15,433,2,Returned,0.04,98,Incorrect item,Delayed refund
245,890,2022-03-11,360,1,Returned,0,99,Not satisfied,Delayed refund
246,321,2018-12-31,487,1,Returned,0.17,100,Damaged,Happy with return
247,8,2022-03-08,449,3,Returned,0.22,101,Incorrect item,Delayed refund
248,201,2019-05-22,331,2,Returned,0.06,102,Not satisfied,Delayed refund
251,27,2022-09-01,241,3,Returned,0.02,103,Incorrect item,Delayed refund
257,151,2021-11-06,169,3,Returned,0.07,104,Incorrect item,Happy with return
258,532,2018-07-18,351,2,Returned,0.05,105,Incorrect item,Quick process
259,752,2022-07-22,360,1,Returned,0.18,106,Damaged,Delayed refund
260,846,2021-11-13,25,3,Returned,0.26,107,Incorrect item,Quick process
268,743,2021-03-03,460,1,Returned,0.01,108,Damaged,Happy with return
270,915,2018-12-28,228,2,Returned,0.11,109,Incorrect item,Happy with return
271,152,2020-08-06,13,1,Returned,0.2,110,Incorrect item,Delayed refund
277,417,2018-10-23,80,2,Returned,0.17,111,Not satisfied,Happy with return
279,203,2021-04-28,168,3,Returned,0.29,112,Incorrect item,Happy with return
282,811,2018-03-28,398,2,Returned,0.19,113,Damaged,Happy with return
284,742,2018-09-13,464,3,Returned,0.13,114,Incorrect item,Delayed refund
286,605,2021-11-08,235,3,Returned,0.27,115,Incorrect item,Happy with return
291,440,2019-08-30,157,3,Returned,0.2,116,Not satisfied,Quick process
292,366,2021-03-17,415,2,Returned,0.14,117,Incorrect item,Quick process
294,414,2018-06-19,23,3,Returned,0.13,118,Incorrect item,Happy with return
299,307,2019-12-19,102,2,Returned,0.19,119,Not satisfied,Quick process
303,421,2019-12-29,263,4,Returned,0.02,120,Incorrect item,Quick process
304,288,2020-08-08,124,3,Returned,0.26,121,Incorrect item,Delayed refund
305,552,2020-07-06,448,3,Returned,0,122,Damaged,Quick process
307,288,2021-12-19,468,3,Returned,0.16,123,Not satisfied,Quick process
308,867,2021-01-29,195,2,Returned,0.15,124,Damaged,Delayed refund
316,668,2020-12-14,200,1,Returned,0.08,125,Incorrect item,Quick process
319,342,2021-04-14,410,4,Returned,0.09,126,Damaged,Happy with return
324,800,2018-07-14,254,4,Returned,0.13,127,Damaged,Delayed refund
327,524,2020-03-15,68,1,Returned,0.04,128,Not satisfied,Happy with return
330,948,2020-01-05,152,4,Returned,0.11,129,Incorrect item,Delayed refund
332,681,2018-07-22,223,2,Returned,0.22,130,Damaged,Happy with return
335,109,2018-04-19,396,4,Returned,0.05,131,Incorrect item,Delayed refund
339,521,2020-01-12,167,2,Returned,0.09,132,Damaged,Quick process
342,787,2018-11-25,307,3,Returned,0.11,133,Damaged,Happy with return
348,398,2019-11-26,397,1,Returned,0.22,134,Damaged,Quick process
351,544,2020-09-19,6,2,Returned,0.25,135,Incorrect item,Quick process
352,432,2022-04-12,300,3,Returned,0.1,136,Damaged,Quick process
355,987,2022-03-30,257,3,Returned,0.3,137,Damaged,Quick process
358,222,2019-03-11,124,2,Returned,0.27,138,Incorrect item,Happy with return
362,590,2018-10-07,58,4,Returned,0,139,Incorrect item,Quick process
366,539,2019-10-10,175,2,Returned,0.1,140,Damaged,Quick process
368,154,2018-11-16,334,2,Returned,0.1,141,Incorrect item,Delayed refund
373,244,2022-11-07,105,3,Returned,0.1,142,Incorrect item,Delayed refund
375,609,2022-07-28,494,3,Returned,0.28,143,Incorrect item,Happy with return
377,902,2022-03-07,372,1,Returned,0.12,144,Incorrect item,Delayed refund
381,518,2020-07-13,22,3,Returned,0.01,145,Damaged,Delayed refund
383,311,2022-09-18,346,2,Returned,0.27,146,Not satisfied,Happy with return
387,383,2022-12-26,107,3,Returned,0.26,147,Damaged,Happy with return
390,758,2022-04-11,70,4,Returned,0.05,148,Not satisfied,Happy with return
391,314,2019-11-25,260,3,Returned,0.19,149,Damaged,Happy with return
398,326,2018-03-13,62,4,Returned,0.2,150,Incorrect item,Happy with return
399,350,2022-03-26,490,4,Returned,0.2,151,Not satisfied,Delayed refund
400,83,2018-09-16,477,3,Returned,0.22,152,Not satisfied,Delayed refund
402,729,2020-07-24,243,4,Returned,0.13,153,Not satisfied,Quick process
408,601,2018-12-16,328,3,Returned,0.18,154,Incorrect item,Happy with return
409,535,2020-08-06,281,4,Returned,0.07,155,Not satisfied,Happy with return
410,108,2020-03-26,477,3,Returned,0.26,156,Not satisfied,Quick process
419,19,2018-03-24,417,3,Returned,0.02,157,Not satisfied,Delayed refund
421,623,2020-08-05,179,2,Returned,0.2,158,Not satisfied,Delayed refund
422,361,2018-08-15,78,3,Returned,0.25,159,Incorrect item,Happy with return
424,159,2021-04-03,387,2,Returned,0.24,160,Incorrect item,Quick process
434,393,2022-10-24,101,1,Returned,0.06,161,Damaged,Delayed refund
437,181,2020-09-29,370,3,Returned,0.29,162,Damaged,Delayed refund
439,855,2019-05-09,246,2,Returned,0.23,163,Damaged,Delayed refund
440,970,2020-12-29,148,1,Returned,0.09,164,Not satisfied,Delayed refund
443,876,2021-10-20,446,3,Returned,0.14,165,Not satisfied,Happy with return
446,736,2021-01-21,56,4,Returned,0.09,166,Damaged,Happy with return
450,850,2020-07-31,243,1,Returned,0.2,167,Not satisfied,Delayed refund
453,565,2018-05-24,421,4,Returned,0.22,168,Damaged,Quick process
454,445,2022-09-10,323,3,Returned,0.29,169,Incorrect item,Quick process
455,231,2018-05-19,132,4,Returned,0.18,170,Not satisfied,Quick process
457,356,2021-08-01,272,4,Returned,0.28,171,Incorrect item,Happy with return
458,472,2020-09-18,349,3,Returned,0.24,172,Incorrect item,Quick process
462,761,2021-08-22,329,3,Returned,0.05,173,Damaged,Delayed refund
463,974,2018-07-22,80,4,Returned,0.09,174,Not satisfied,Happy with return
466,780,2019-02-10,287,2,Returned,0.1,175,Damaged,Happy with return
474,130,2020-03-23,250,2,Returned,0.15,176,Damaged,Delayed refund
478,53,2020-06-11,397,3,Returned,0.29,177,Not satisfied,Quick process
485,841,2018-08-08,195,2,Returned,0.02,178,Damaged,Quick process
486,863,2022-12-30,37,1,Returned,0.15,179,Damaged,Quick process
490,416,2021-09-06,232,1,Returned,0.25,180,Damaged,Quick process
491,453,2020-01-10,358,4,Returned,0.09,181,Incorrect item,Happy with return
494,710,2020-01-08,120,4,Returned,0.3,182,Damaged,Delayed refund
497,172,2022-04-27,83,1,Returned,0.25,183,Not satisfied,Happy with return
499,996,2020-11-10,444,2,Returned,0.04,184,Damaged,Happy with return
500,618,2019-09-18,406,1,Returned,0.08,185,Incorrect item,Happy with return
501,523,2020-09-25,49,4,Returned,0.3,186,Not satisfied,Quick process
504,94,2022-03-18,463,1,Returned,0.09,187,Damaged,Quick process
505,430,2019-05-28,136,1,Returned,0.05,188,Damaged,Delayed refund
508,959,2018-08-08,253,4,Returned,0.07,189,Not satisfied,Delayed refund
510,356,2021-06-06,281,4,Returned,0.29,190,Damaged,Happy with return
511,14,2021-03-31,366,1,Returned,0.29,191,Not satisfied,Delayed refund
513,830,2019-08-10,70,4,Returned,0.12,192,Damaged,Happy with return
519,190,2022-04-18,484,4,Returned,0.23,193,Not satisfied,Delayed refund
522,839,2021-03-14,162,1,Returned,0.13,194,Incorrect item,Happy with return
523,18,2018-07-09,302,4,Returned,0.05,195,Damaged,Delayed refund
526,674,2019-08-29,179,3,Returned,0.25,196,Damaged,Delayed refund
527,175,2018-09-04,160,2,Returned,0,197,Damaged,Delayed refund
530,534,2020-07-08,5,1,Returned,0.18,198,Damaged,Delayed refund
532,352,2018-08-24,215,2,Returned,0.09,199,Not satisfied,Delayed refund
538,275,2022-02-24,202,4,Returned,0.12,200,Damaged,Quick process
541,927,2019-04-06,91,1,Returned,0.28,201,Damaged,Happy with return
548,328,2018-04-25,129,4,Returned,0.16,202,Not satisfied,Quick process
549,562,2021-01-24,437,3,Returned,0.05,203,Incorrect item,Delayed refund
555,561,2021-11-24,42,3,Returned,0.19,204,Damaged,Happy with return
567,2,2022-05-27,115,4,Returned,0.02,205,Incorrect item,Happy with return
568,213,2020-05-22,452,1,Returned,0,206,Incorrect item,Delayed refund
570,696,2018-05-23,496,4,Returned,0.29,207,Damaged,Quick process
571,797,2019-09-05,296,3,Returned,0.01,208,Not satisfied,Happy with return
574,904,2021-08-26,190,2,Returned,0.19,209,Incorrect item,Delayed refund
575,489,2018-03-13,376,2,Returned,0.15,210,Damaged,Happy with return
580,377,2018-07-18,10,2,Returned,0.12,211,Incorrect item,Delayed refund
581,641,2020-02-27,357,2,Returned,0.13,212,Not satisfied,Delayed refund
596,244,2021-10-10,99,2,Returned,0.16,213,Not satisfied,Happy with return
597,81,2021-07-23,207,4,Returned,0.02,214,Incorrect item,Happy with return
598,799,2018-07-31,457,1,Returned,0.03,215,Damaged,Quick process
599,578,2022-05-18,216,4,Returned,0.17,216,Damaged,Happy with return
601,218,2019-06-15,457,4,Returned,0.04,217,Damaged,Happy with return
605,379,2021-09-28,415,1,Returned,0.18,218,Not satisfied,Happy with return
607,884,2021-11-29,83,3,Returned,0.12,219,Damaged,Quick process
612,921,2018-11-28,221,3,Returned,0.29,220,Incorrect item,Delayed refund
613,740,2021-10-12,232,3,Returned,0.24,221,Not satisfied,Quick process
615,580,2022-04-19,308,4,Returned,0.13,222,Damaged,Happy with return
625,409,2022-02-19,237,1,Returned,0.03,223,Not satisfied,Delayed refund
627,245,2022-11-13,440,3,Returned,0.19,224,Not satisfied,Quick process
628,323,2021-06-21,160,3,Returned,0.28,225,Damaged,Quick process
631,479,2022-10-14,323,2,Returned,0.21,226,Not satisfied,Happy with return
632,632,2022-03-02,442,4,Returned,0.21,227,Incorrect item,Happy with return
633,787,2020-10-03,455,3,Returned,0.27,228,Incorrect item,Happy with return
638,189,2019-04-22,124,2,Returned,0.22,229,Incorrect item,Happy with return
640,871,2021-07-15,54,4,Returned,0.16,230,Not satisfied,Happy with return
642,874,2018-09-24,399,4,Returned,0.08,231,Not satisfied,Happy with return
643,357,2022-10-29,472,2,Returned,0.25,232,Not satisfied,Happy with return
644,618,2020-01-15,15,2,Returned,0.14,233,Damaged,Delayed refund
646,703,2018-03-08,33,2,Returned,0.25,234,Damaged,Happy with return
647,458,2018-04-06,480,1,Returned,0.11,235,Incorrect item,Delayed refund
654,643,2020-03-10,342,1,Returned,0.04,236,Not satisfied,Delayed refund
655,379,2019-07-05,259,3,Returned,0.2,237,Not satisfied,Quick process
661,157,2022-07-20,391,2,Returned,0.19,238,Not satisfied,Delayed refund
662,413,2020-04-03,263,2,Returned,0.05,239,Not satisfied,Quick process
678,555,2020-10-19,479,3,Returned,0.13,240,Incorrect item,Delayed refund
682,348,2018-01-16,127,1,Returned,0.22,241,Incorrect item,Quick process
684,818,2021-02-26,454,2,Returned,0.17,242,Not satisfied,Delayed refund
685,794,2018-10-21,129,2,Returned,0.29,243,Damaged,Happy with return
686,525,2018-07-24,429,1,Returned,0.1,244,Damaged,Happy with return
687,302,2019-07-18,478,2,Returned,0.09,245,Incorrect item,Quick process
691,419,2020-05-14,366,3,Returned,0.05,246,Not satisfied,Happy with return
692,456,2018-12-30,311,2,Returned,0.08,247,Not satisfied,Happy with return
693,958,2022-07-11,478,1,Returned,0.12,248,Incorrect item,Happy with return
695,24,2021-07-17,168,1,Returned,0.06,249,Incorrect item,Happy with return
696,11,2021-03-11,329,2,Returned,0.19,250,Damaged,Happy with return
700,197,2020-07-14,132,2,Returned,0.16,251,Damaged,Quick process
701,928,2022-12-26,117,2,Returned,0.13,252,Not satisfied,Delayed refund
703,54,2022-02-22,294,2,Returned,0.3,253,Damaged,Quick process
721,675,2020-06-11,230,4,Returned,0.21,254,Damaged,Happy with return
725,379,2019-09-29,434,1,Returned,0.19,255,Damaged,Quick process
726,965,2018-12-06,471,3,Returned,0.04,256,Incorrect item,Quick process
727,42,2021-10-28,370,1,Returned,0.06,257,Incorrect item,Happy with return
728,841,2020-08-19,479,2,Returned,0.01,258,Damaged,Delayed refund
729,859,2020-03-28,414,1,Returned,0.28,259,Damaged,Happy with return
730,225,2021-05-21,244,1,Returned,0.25,260,Damaged,Delayed refund
731,225,2022-03-23,89,4,Returned,0.19,261,Not satisfied,Happy with return
738,233,2022-05-22,421,4,Returned,0.04,262,Damaged,Happy with return
739,638,2022-02-16,10,1,Returned,0.28,263,Not satisfied,Happy with return
745,379,2018-09-03,253,4,Returned,0.01,264,Incorrect item,Delayed refund
748,821,2020-04-07,478,4,Returned,0.17,265,Damaged,Happy with return
749,235,2020-01-03,149,2,Returned,0.13,266,Incorrect item,Delayed refund
753,475,2020-09-02,48,1,Returned,0.02,267,Not satisfied,Happy with return
758,229,2021-11-03,393,2,Returned,0.07,268,Not satisfied,Delayed refund
760,231,2019-06-26,192,2,Returned,0.25,269,Incorrect item,Quick process
761,560,2022-10-11,498,1,Returned,0.22,270,Damaged,Quick process
763,344,2019-12-26,360,4,Returned,0.3,271,Incorrect item,Delayed refund
768,860,2020-02-24,203,1,Returned,0.01,272,Incorrect item,Delayed refund
770,311,2020-10-07,14,4,Returned,0.05,273,Not satisfied,Quick process
771,159,2020-09-05,409,3,Returned,0.18,274,Not satisfied,Delayed refund
777,551,2018-09-12,21,3,Returned,0.22,275,Damaged,Happy with return
778,435,2020-08-21,363,1,Returned,0.1,276,Not satisfied,Delayed refund
781,634,2020-04-04,414,1,Returned,0.17,277,Incorrect item,Delayed refund
792,655,2020-06-18,194,2,Returned,0.14,278,Damaged,Delayed refund
799,743,2021-04-20,68,2,Returned,0.04,279,Damaged,Happy with return
800,7,2020-05-08,355,1,Returned,0.22,280,Not satisfied,Happy with return
802,129,2019-04-01,102,4,Returned,0.03,281,Incorrect item,Delayed refund
806,393,2022-01-08,282,2,Returned,0.27,282,Not satisfied,Delayed refund
811,515,2021-08-18,220,1,Returned,0.16,283,Not satisfied,Delayed refund
814,180,2019-11-26,220,1,Returned,0.2,284,Damaged,Happy with return
821,146,2020-06-18,100,3,Returned,0.24,285,Damaged,Delayed refund
822,472,2021-04-20,431,2,Returned,0.02,286,Damaged,Quick process
823,334,2022-05-22,187,4,Returned,0.27,287,Not satisfied,Delayed refund
829,89,2018-11-30,496,3,Returned,0.22,288,Incorrect item,Delayed refund
833,135,2020-07-02,204,4,Returned,0.17,289,Not satisfied,Delayed refund
835,226,2018-03-27,200,3,Returned,0.13,290,Not satisfied,Delayed refund
836,990,2019-11-01,283,2,Returned,0.19,291,Damaged,Delayed refund
837,805,2022-10-05,47,2,Returned,0.08,292,Incorrect item,Happy with return
838,267,2018-12-14,287,3,Returned,0.02,293,Damaged,Quick process
839,670,2021-09-17,166,4,Returned,0.05,294,Incorrect item,Happy with return
840,700,2019-08-21,318,4,Returned,0.29,295,Incorrect item,Delayed refund
841,242,2020-05-03,420,3,Returned,0.24,296,Damaged,Quick process
843,55,2021-06-10,4,4,Returned,0.1,297,Not satisfied,Quick process
846,881,2018-11-19,280,3,Returned,0.1,298,Incorrect item,Quick process
851,503,2019-01-15,240,2,Returned,0.17,299,Not satisfied,Quick process
854,83,2018-02-04,262,3,Returned,0.04,300,Damaged,Delayed refund
855,170,2019-12-23,224,4,Returned,0.22,301,Incorrect item,Happy with return
856,591,2021-05-22,418,3,Returned,0.11,302,Damaged,Quick process
858,979,2019-05-04,467,2,Returned,0.07,303,Not satisfied,Delayed refund
860,905,2018-03-28,39,4,Returned,0.16,304,Not satisfied,Quick process
863,41,2021-04-11,116,2,Returned,0.07,305,Incorrect item,Happy with return
865,250,2019-07-13,438,1,Returned,0.11,306,Not satisfied,Quick process
871,333,2018-03-14,178,4,Returned,0.01,307,Not satisfied,Quick process
878,963,2022-04-20,72,3,Returned,0.23,308,Incorrect item,Quick process
881,286,2018-06-14,394,3,Returned,0.02,309,Incorrect item,Quick process
882,94,2018-05-15,461,1,Returned,0.1,310,Damaged,Quick process
884,849,2022-02-02,187,4,Returned,0.09,311,Incorrect item,Delayed refund
886,519,2019-11-27,442,4,Returned,0.23,312,Incorrect item,Happy with return
887,139,2022-07-10,487,2,Returned,0.01,313,Not satisfied,Happy with return
894,966,2020-02-13,187,4,Returned,0.06,314,Incorrect item,Quick process
895,333,2020-01-21,224,1,Returned,0.12,315,Not satisfied,Happy with return
896,630,2022-05-11,403,1,Returned,0.02,316,Incorrect item,Quick process
902,358,2018-05-05,201,4,Returned,0.16,317,Incorrect item,Quick process
904,739,2022-08-31,441,3,Returned,0.11,318,Damaged,Happy with return
905,425,2019-06-01,288,2,Returned,0.27,319,Damaged,Delayed refund
907,335,2022-03-27,145,4,Returned,0.28,320,Not satisfied,Delayed refund
909,894,2022-08-06,324,1,Returned,0.16,321,Not satisfied,Happy with return
915,162,2022-04-17,168,1,Returned,0.12,322,Incorrect item,Quick process
923,599,2020-02-20,406,4,Returned,0.03,323,Damaged,Quick process
927,493,2022-03-03,43,3,Returned,0.14,324,Not satisfied,Quick process
928,823,2019-10-24,265,3,Returned,0.07,325,Damaged,Delayed refund
929,571,2021-09-11,438,3,Returned,0.06,326,Damaged,Happy with return
932,9,2020-11-27,79,3,Returned,0,327,Incorrect item,Happy with return
934,397,2019-10-03,399,4,Returned,0.11,328,Damaged,Happy with return
937,520,2020-04-08,161,3,Returned,0.2,329,Damaged,Delayed refund
938,320,2022-08-04,197,3,Returned,0.13,330,Damaged,Quick process
942,670,2021-01-24,484,2,Returned,0.14,331,Damaged,Happy with return
944,351,2021-08-23,340,2,Returned,0.21,332,Incorrect item,Quick process
948,538,2018-08-21,133,3,Returned,0.26,333,Incorrect item,Quick process
954,601,2019-04-11,359,1,Returned,0.29,334,Damaged,Delayed refund
955,104,2018-12-05,347,3,Returned,0.23,335,Damaged,Delayed refund
959,775,2019-11-29,96,1,Returned,0.1,336,Damaged,Delayed refund
963,410,2018-10-12,207,1,Returned,0.14,337,Not satisfied,Delayed refund
967,189,2022-09-25,241,3,Returned,0.22,338,Incorrect item,Quick process
970,897,2019-05-09,234,4,Returned,0.21,339,Damaged,Quick process
971,753,2022-02-04,67,2,Returned,0.22,340,Damaged,Quick process
972,190,2018-11-17,363,3,Returned,0.19,341,Not satisfied,Happy with return
978,615,2022-10-06,328,2,Returned,0.09,342,Not satisfied,Happy with return
982,268,2019-02-25,127,2,Returned,0.23,343,Not satisfied,Quick process
986,273,2019-03-02,315,3,Returned,0.05,344,Not satisfied,Delayed refund
989,84,2018-04-25,424,4,Returned,0.17,345,Not satisfied,Delayed refund
993,270,2021-06-20,145,3,Returned,0.28,346,Incorrect item,Quick process
994,263,2021-03-29,169,2,Returned,0.16,347,Not satisfied,Quick process
997,373,2021-06-12,214,3,Returned,0.02,348,Incorrect item,Happy with return
998,738,2022-07-12,268,2,Returned,0.02,349,Not satisfied,Quick process
999,812,2021-12-21,358,1,Returned,0.03,350,Incorrect item,Quick process
1000,479,2019-06-12,258,3,Returned,0.07,351,Incorrect item,Delayed refund
1002,910,2021-12-24,349,2,Returned,0.03,352,Incorrect item,Happy with return
1003,483,2019-09-19,216,4,Returned,0.03,353,Incorrect item,Happy with return
1016,641,2020-04-29,265,2,Returned,0.26,354,Damaged,Happy with return
1017,782,2022-08-30,69,1,Returned,0.12,355,Not satisfied,Delayed refund
1019,632,2021-11-23,469,3,Returned,0.28,356,Incorrect item,Quick process
1021,86,2022-03-06,61,3,Returned,0.03,357,Not satisfied,Quick process
1023,620,2018-04-21,288,1,Returned,0.08,358,Not satisfied,Happy with return
1024,554,2020-11-30,196,3,Returned,0.25,359,Not satisfied,Happy with return
1027,735,2022-11-24,16,2,Returned,0.08,360,Damaged,Delayed refund
1030,183,2022-10-31,139,2,Returned,0.15,361,Damaged,Quick process
1032,463,2018-03-26,185,4,Returned,0.04,362,Not satisfied,Happy with return
1036,809,2019-01-25,99,2,Returned,0.17,363,Incorrect item,Happy with return
1038,958,2019-06-23,197,2,Returned,0.06,364,Damaged,Quick process
1039,914,2018-08-14,485,1,Returned,0.25,365,Incorrect item,Quick process
1040,9,2022-01-14,146,3,Returned,0.24,366,Not satisfied,Quick process
1041,739,2022-09-02,33,2,Returned,0.04,367,Incorrect item,Happy with return
1047,27,2020-07-05,284,2,Returned,0.24,368,Damaged,Quick process
1049,526,2021-11-13,45,1,Returned,0.27,369,Incorrect item,Happy with return
1050,687,2022-11-24,335,1,Returned,0.12,370,Incorrect item,Happy with return
1055,857,2020-01-22,399,3,Returned,0.12,371,Incorrect item,Quick process
1057,629,2020-01-07,418,3,Returned,0.21,372,Not satisfied,Happy with return
1058,219,2019-04-07,175,3,Returned,0.03,373,Not satisfied,Delayed refund
